189578 getPopulationofCountry French Guiana 4 Zone:4 (turnaround time: 128 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
6340891 getPopulationofCountry Guatemala 2 Zone:2 (turnaround time: 126 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
6340891 getPopulationofCountry Guatemala 2 Zone:2 (turnaround time: 119 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
361020 getPopulationofCountry Comoros 4 Zone:4 (turnaround time: 118 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
3328228 getPopulationofCountry Honduras 2 Zone:2 (turnaround time: 120 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
3328228 getPopulationofCountry Honduras 2 Zone:2 (turnaround time: 113 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
3328228 getPopulationofCountry Honduras 2 Zone:2 (turnaround time: 119 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
134594036 getPopulationofCountry Brazil 3 Zone:3 (turnaround time: 114 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-3)
21079844 getPopulationofCountry Peru 5 Zone:5 (turnaround time: 116 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
21079844 getPopulationofCountry Peru 5 Zone:5 (turnaround time: 108 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
1907246 getPopulationofCountry Tajikistan 3 Zone:3 (turnaround time: 114 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-3)
29145131 getPopulationofCountry Poland 4 Zone:4 (turnaround time: 112 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
1565638 getPopulationofCountry Togo 5 Zone:5 (turnaround time: 114 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
21079844 getPopulationofCountry Peru 2 Zone:2 (turnaround time: 110 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
21079844 getPopulationofCountry Peru 2 Zone:2 (turnaround time: 113 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
21079844 getPopulationofCountry Peru 2 Zone:2 (turnaround time: 113 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
21079844 getPopulationofCountry Peru 2 Zone:2 (turnaround time: 117 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
369776 getPopulationofCountry Guyana 2 Zone:2 (turnaround time: 117 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
374575 getPopulationofCountry Guadeloupe 5 Zone:5 (turnaround time: 114 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
374575 getPopulationofCountry Guadeloupe 3 Zone:3 (turnaround time: 110 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-3)
3989252 getPopulationofCountry Nepal 4 Zone:4 (turnaround time: 110 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
3989252 getPopulationofCountry Nepal 4 Zone:4 (turnaround time: 111 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
100848918 getPopulationofCountry Japan 3 Zone:3 (turnaround time: 120 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-3)
6340891 getPopulationofCountry Guatemala 3 Zone:3 (turnaround time: 114 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-3)
6340891 getPopulationofCountry Guatemala 3 Zone:3 (turnaround time: 112 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-3)
6340891 getPopulationofCountry Guatemala 3 Zone:3 (turnaround time: 115 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-3)
1907246 getPopulationofCountry Tajikistan 1 Zone:1 (turnaround time: 118 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-1)
15411242 getPopulationofCountry Belgium 5 Zone:5 (turnaround time: 115 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
15411242 getPopulationofCountry Belgium 5 Zone:5 (turnaround time: 116 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
15411242 getPopulationofCountry Belgium 4 Zone:4 (turnaround time: 114 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
21079844 getPopulationofCountry Peru 5 Zone:5 (turnaround time: 128 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
30376 getPopulationofCountry Palau 3 Zone:3 (turnaround time: 111 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-3)
361020 getPopulationofCountry Comoros 5 Zone:5 (turnaround time: 111 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
361020 getPopulationofCountry Comoros 5 Zone:5 (turnaround time: 110 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
361020 getPopulationofCountry Comoros 5 Zone:5 (turnaround time: 104 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
361020 getPopulationofCountry Comoros 5 Zone:5 (turnaround time: 112 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
233433 getPopulationofCountry Bhutan 1 Zone:1 (turnaround time: 112 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-1)
48029 getPopulationofCountry Seychelles 1 Zone:1 (turnaround time: 115 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-1)
4803355 getPopulationofCountry Serbia 2 Zone:2 (turnaround time: 119 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
48029 getPopulationofCountry Seychelles 4 Zone:4 (turnaround time: 116 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
48029 getPopulationofCountry Seychelles 4 Zone:4 (turnaround time: 110 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
3328228 getPopulationofCountry Honduras 1 Zone:1 (turnaround time: 112 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-1)
4803355 getPopulationofCountry Serbia 5 Zone:5 (turnaround time: 114 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
4803355 getPopulationofCountry Serbia 5 Zone:5 (turnaround time: 118 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
4803355 getPopulationofCountry Serbia 5 Zone:5 (turnaround time: 115 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-5)
3328228 getPopulationofCountry Honduras 2 Zone:2 (turnaround time: 107 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
24859223 getPopulationofCountry Romania 4 Zone:4 (turnaround time: 132 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
